200000	100	200000	22	1
200000	10100	200000	24	1
200000	10005	200000	27	1
200000	10100	200000	28	1
200000	10100	200000	29	1
200000	10100	200000	30	1
200000	100	200000	25	1
200000	100	200000	22	2
200000	10100	200000	24	2
200000	10005	200000	27	2
200000	10100	200000	2	2
200000	2100	200000	4	2
100000	100	100000	32	3
100000	10100	100000	35	3
100000	10100	100000	34	3
100000	1000	100000	25	3
100000	100	100000	32	4
100000	2100	100000	33	4
60000	100	60000	6	5
60000	10200	60000	8	5
60000	100	60000	14	5
60000	100	60000	6	6
60000	2100	60000	10	6
200000	100	200000	23	7
200000	10100	200000	25	7
200000	2100	200000	26	7
100000	100	100000	9	8
100000	10200	100000	11	8
100000	10100	100000	12	8
100000	100	100000	17	8
100000	100	100000	9	9
100000	10200	100000	11	9
100000	10100	100000	13	9
100000	100	100000	16	9
100000	100	100000	9	10
100000	10200	100000	11	10
100000	100	100000	15	10
120000	100	120000	1	11
120000	10100	120000	3	11
120000	10100	120000	5	11
120000	2100	120000	7	11
120000	100	120000	1	12
120000	10100	120000	3	12
120000	10100	120000	5	12
120000	100	120000	8	12
25000	100	25000	19	13
25000	10200	25000	20	13
25000	1000	25000	21	13
-
